,station_id,name,latitude,longitude,state,source,provider
0,APSH_Seward1,AOOS Burkolator at Alutiiq Pride Shellfish Hatchery,60.0992,-149.4428,Alaska,IPACOA,Alutiiq Pride Shellfish
1,OCAL_Ketchikan1,AOOS Burkolator at OceansAlaska Ketchikan Shellfish Hatchery,55.315,-131.5954,Alaska,IPACOA,OceansAlaska
2,APL_Chaba,Ćháʔba· UW/NANOOS Moored Buoy near La Push,47.9627,-124.958,Washington,IPACOA,APL-UW
3,HIOC_Hogisland1,CeNCOOS Burkolator at Hog Island Oyster Farm,38.162,-122.8939,California,IPACOA,Hog Island Oysters
4,FBO_Fannybay1,"Fanny Bay Oysters, Baynes Sound",49.4716,-124.7927,British Columbia,IPACOA,FannyBayOysters
5,HAKAI_KCBuoy,"Seaology CO2 Buoy in Kwakshua Channel, BC",51.6501,-127.9664,British Columbia,IPACOA,Hakai Institute
6,HAKAI_Quadra1,Quadra Island Field Station at Hyacinthe Bay,50.116,-125.222,British Columbia,IPACOA,Hakai Institute
7,OSU_NOAA_OI,NCDC Optimum Interpolation SST,46.1,-129.5,"Washington, Oregon, California, British Columbia",IPACOA,NOAA-NCDC
8,NDBC_46041,NDBC 46041 - Cape Elizabeth - 45NM NW of Aberdeen,47.353,-124.731,Washington,IPACOA,NDBC
9,NERRS_elkapwq,"Azevedo Pond (elkapwq), Elkhorn Slough Reserve",36.8457,-121.7538,California,IPACOA,NERRS ELK
10,NERRS_elksmwq,"South Marsh (elksmwq), Elkhorn Slough Reserve",36.8179,-121.7394,California,IPACOA,NERRS ELK
11,NERRS_elkvmwq,"Vierra Mouth (elkvmwq), Elkhorn Slough Reserve",36.8111,-121.7792,California,IPACOA,NERRS ELK
12,NERRS_job09wq,"Station 9 (job09wq), Jobos Bay Reserve",17.9437,-66.2385,Puerto Rico,IPACOA,NERRS JOB
13,NERRS_job20wq,"Station 20 (job20wq), Jobos Bay Reserve",17.9303,-66.2115,Puerto Rico,IPACOA,NERRS JOB
14,NERRS_kachdwq,"Homer Dolphin Deep (kachdwq), Kachemak Bay Reserve",59.602,-151.4088,Alaska,IPACOA,NERRS KAC
15,NERRS_kacsdwq,"Seldovia Deep (kacsdwq), Kachemak Bay Reserve",59.441,-151.721,Alaska,IPACOA,NERRS KAC
16,NERRS_pdbbpwq,"Ploeg Channel (pdbbpwq), Padilla Bay Reserve",48.5563,-122.5309,Washington,IPACOA,NERRS PDB
17,NERRS_pdbbywq,"Bayview Channel (pdbbywq), Padilla Bay Reserve",48.4961,-122.5021,Washington,IPACOA,NERRS PDB
18,NERRS_sfbccwq,"China Camp (sfbccwq), San Francisco Bay Reserve",38.0012,-122.4604,California,IPACOA,NERRS SFB
19,NERRS_sfbfmwq,"First Mallard (sfbfmwq), San Francisco Bay Reserve",38.1949,-122.0328,California,IPACOA,NERRS SFB
20,NERRS_sfbgcwq,"Gallinas Creek (sfbgcwq), San Francisco Bay Reserve",38.0159,-122.5085,California,IPACOA,NERRS SFB
21,NERRS_sfbsmwq,"Second Mallard (sfbsmwq), San Francisco Bay Reserve",38.1841,-122.0136,California,IPACOA,NERRS SFB
22,NERRS_soschwq,"Charleston Bridge (soschwq), South Slough Reserve",43.3377,-124.3205,Oregon,IPACOA,NERRS SOS
23,NERRS_sosvawq,"Valino Island (sosvawq), South Slough Reserve",43.3172,-124.3216,Oregon,IPACOA,NERRS SOS
24,NERRS_soswiwq,"Winchester Arm (soswiwq), South Slough Reserve",43.2824,-124.3203,Oregon,IPACOA,NERRS SOS
25,NERRS_tjroswq,"Oneonta Slough (tjroswq), Tijuana River Reserve",32.5683,-117.1313,California,IPACOA,NERRS TJR
26,ORCA_Dabobbay,Profiling Buoy at Dabob Bay - Hood Canal,47.8034,-122.8029,Washington,IPACOA,ORCA-UW
27,ORCA_Twanoh,Profiling Buoy at Twanoh - Hood Canal,47.375,-123.0083,Washington,IPACOA,ORCA-UW
28,OSU_CB06,"CB-06, 6NM W of Coos Bay",43.295,-124.5367,Oregon,IPACOA,OSU
29,OSU_NH10,"NH-10 Buoy, Newport",44.645,-124.2985,Oregon,IPACOA,OSU
30,PMELCO2_coastalla,Coastal Louisiana (LA) Buoy,28.9,-90.5,Louisiana,IPACOA,PMEL-CO2
31,PMELCO2_155w0,"TAO 0, 155W",0.0,-155.0,STATE,IPACOA,PMEL-CO2
32,PMELCO2_165e0,"TAO 0, 165E",0.0,165.0,STATE,IPACOA,PMEL-CO2
33,PMELCO2_165e8s,"TAO 8S, 165E",-8.0,165.0,STATE,IPACOA,PMEL-CO2
34,PMELCO2_170w,"TAO 0, 170W ",0.0,-170.0,STATE,IPACOA,PMEL-CO2
35,PMELCO2_HogReef,Hog Reef,32.46,-64.83,STATE,IPACOA,PMEL-CO2
36,PMELCO2_alawai,Ala Wai HiOOS Mooring,21.28,-157.85,Hawaii,IPACOA,PMEL-CO2
37,PMELCO2_cce1,California Current Ecosystem 1 Mooring,33.48,-122.53,California,IPACOA,PMEL-CO2
38,PMELCO2_cce2,California Current Ecosystem 2 Mooring,34.324,-120.814,California,IPACOA,PMEL-CO2
39,PMELCO2_cheeca,Cheeca Rocks Ocean Acidification Mooring,24.9,-80.62,STATE,IPACOA,PMEL-CO2
40,PMELCO2_chuukk1,Chuuk K1 Lagoon Mooring,7.42,151.82,STATE,IPACOA,PMEL-CO2
